,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,NL
2916,368,448,15,38,2,0,0,12,0,2.0,31,219,0.0,1,28,1.0,6.0,1
2917,9,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
2918,2239,9140,1357,2705,396,109,37,842,62,73.0,572,345,0.0,41,180,0.0,99.0,0
2919,23,6,0,1,0,0,0,0,0,0.0,0,2,0.0,0,0,0.0,0.0,1
2920,1573,5026,585,1276,179,18,179,657,26,29.0,424,477,95.0,21,68,42.0,162.0,1
2921,130,367,41,83,15,2,0,25,7,9.0,21,24,0.0,7,11,0.0,0.0,1
2922,129,259,36,86,23,5,13,56,8,4.0,44,33,0.0,2,4,0.0,0.0,1
2923,34,12,1,1,0,0,1,1,0,0.0,0,4,0.0,0,3,0.0,0.0,1
2924,1104,3730,425,941,198,36,87,477,28,26.0,345,820,58.0,34,6,43.0,83.0,1
2925,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
2926,1716,6655,998,1931,309,123,136,766,480,109.0,377,1067,24.0,47,34,48.0,79.0,1
2927,10,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
2928,87,306,41,89,13,2,2,24,5,2.5,37,15,0.0,1,6,0.0,3.0,1
2929,19,11,0,0,0,0,0,0,0,0.0,0,5,0.0,0,0,0.0,0.0,1
2930,72,187,25,40,10,4,3,18,3,0.0,29,59,0.0,5,2,1.0,3.0,1
2931,7,11,1,2,1,0,0,0,1,0.0,1,5,0.0,0,0,0.0,0.0,0
2932,181,30,2,8,2,0,0,3,0,0.0,3,10,0.0,0,1,0.0,1.0,1
2933,6,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
2934,15,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
2935,318,651,75,182,23,5,9,104,4,2.0,60,29,0.0,4,23,0.0,7.0,1
2936,277,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
2937,1210,3435,507,921,152,35,86,419,47,36.0,431,664,55.0,9,22,28.0,57.0,1
2938,888,3101,392,787,159,5,140,470,4,12.0,199,459,6.0,38,8,31.0,69.0,0
2939,5,4,0,1,0,0,0,1,0,0.0,1,0,0.0,0,0,0.0,0.0,1
2940,279,5,1,1,0,0,0,0,0,0.0,0,3,0.0,0,3,0.0,0.0,1
2941,35,26,2,2,1,0,0,1,0,0.0,1,7,0.0,0,4,0.0,0.0,1
2942,55,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
2943,5,8,0,0,0,0,0,0,0,0.0,1,3,0.0,0,0,0.0,0.0,0
2944,15,16,3,3,1,0,0,0,1,0.5,1,3,0.0,0,1,0.0,1.0,1
2945,4,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
2946,132,261,38,50,10,1,4,14,11,4.0,28,76,0.0,0,2,0.0,3.0,1
2947,264,911,125,240,32,4,4,88,8,4.0,90,102,0.0,10,24,0.0,18.0,1
2948,262,445,46,109,22,4,10,68,9,6.0,50,101,4.0,11,8,9.0,7.0,1
2949,122,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
2950,34,8,0,4,0,0,0,1,0,0.0,1,0,0.0,0,1,0.0,0.0,1
2951,281,22,2,3,0,0,0,1,0,0.0,1,12,0.0,0,1,1.0,0.0,1
2952,94,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
2953,8,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
2954,53,33,5,6,3,0,0,0,0,0.0,0,7,0.0,0,2,0.0,1.0,0
2955,449,2,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
2956,75,26,4,6,0,0,0,0,0,0.0,4,7,0.0,0,5,0.0,1.0,1
2957,7,13,1,2,0,0,0,1,0,0.0,0,2,0.0,0,0,0.0,0.0,0
2958,1586,5930,877,1572,308,57,130,639,309,79.0,561,865,18.0,5,80,51.0,91.0,0
2959,7,9,1,3,0,0,1,1,0,0.0,0,1,0.0,0,1,0.0,0.0,0
2960,30,13,1,1,0,0,0,0,0,0.0,0,6,0.0,0,1,0.0,0.0,1
2961,184,367,35,91,12,4,1,28,2,2.0,30,32,0.0,1,4,0.0,3.0,1
2962,1478,5930,832,1591,195,95,38,531,97,56.5,289,257,0.0,9,187,0.0,27.0,1
2963,3,1,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
2964,123,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
2965,85,104,14,32,7,0,7,20,0,0.0,4,33,1.0,1,1,4.0,0.0,1
2966,38,102,6,20,3,0,0,12,0,0.0,2,7,0.0,0,3,0.0,3.0,0
2967,196,524,54,118,22,1,12,48,0,1.0,27,101,5.0,4,4,6.0,20.0,1
2968,1107,3927,459,1104,229,32,61,391,50,37.0,325,403,85.0,18,17,31.0,99.0,1
2969,126,296,28,68,15,2,0,27,0,0.0,12,13,0.0,4,5,0.0,0.0,1
2970,12,25,0,2,0,0,0,0,0,0.0,2,9,0.0,0,0,0.0,0.0,0
2971,548,1867,223,485,96,6,89,287,9,8.0,110,459,4.0,37,0,16.0,44.0,0
2972,2124,7579,1233,2285,515,118,170,1424,87,71.0,1059,700,0.0,34,166,0.0,57.0,1
2973,25,56,7,13,2,1,0,4,0,0.0,5,7,0.0,0,2,0.0,0.0,0
2974,137,156,10,18,2,0,0,5,0,0.0,16,52,0.0,0,10,0.0,4.0,1
2975,205,250,32,54,5,2,4,20,9,2.0,10,51,0.0,3,6,0.0,1.0,1
2976,747,2559,329,605,146,8,62,276,34,13.0,241,516,4.0,16,14,16.0,79.0,1
2977,3,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
2978,297,677,67,149,22,4,0,44,1,7.0,55,74,3.0,5,10,3.0,17.0,1
2979,1683,6277,1006,1541,260,65,98,649,113,62.0,792,799,0.0,114,90,0.0,59.0,0
2980,119,142,22,23,4,0,0,10,4,2.0,20,18,0.0,0,1,0.0,3.0,1
2981,16,2,1,1,0,0,0,0,0,0.0,1,0,0.0,0,0,0.0,0.0,1
2982,15,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
2983,470,1306,128,342,54,6,8,160,14,10.0,114,68,0.0,10,37,0.0,0.0,0
2984,50,41,4,3,0,0,0,1,0,0.0,4,10,0.0,0,5,0.0,3.0,1
2985,296,935,94,235,37,5,7,86,4,2.0,56,128,0.0,3,22,0.0,23.0,0
2986,43,72,7,9,1,0,1,8,1,0.5,3,13,0.0,2,0,0.0,0.0,1
2987,111,4,1,2,0,0,0,0,0,0.0,1,1,0.0,0,3,0.0,0.0,1
2988,3,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
2989,254,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
2990,32,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
2991,4,4,0,0,0,0,0,0,0,0.0,0,3,0.0,0,0,0.0,0.0,1
2992,2,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
2993,702,1727,215,467,70,12,81,299,3,2.0,159,246,18.0,10,5,14.0,33.0,1
2994,403,847,66,164,18,5,0,59,0,1.0,37,77,0.0,0,44,0.0,0.0,0
2995,10,2,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
2996,265,818,94,196,41,7,4,68,35,8.0,60,160,1.0,4,9,3.0,24.0,0
2997,865,1518,174,379,62,1,42,229,3,0.0,222,181,21.0,7,6,15.0,55.0,1
2998,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
2999,14,33,5,5,2,0,2,4,0,0.0,6,19,0.0,0,0,0.0,0.0,0
3000,19,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
3001,71,2,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,0.0,1
3002,415,1293,169,363,49,22,15,146,28,19.0,144,109,0.0,5,45,0.0,0.0,1
3003,1,4,0,0,0,0,0,1,0,0.0,0,1,0.0,0,1,0.0,0.0,1
3004,6,12,0,1,0,0,0,1,0,0.0,0,1,0.0,0,2,0.0,0.0,1
3005,7,11,1,3,1,1,0,0,0,0.0,0,1,0.0,0,0,0.0,0.0,1
3006,1234,4124,442,1109,250,16,70,464,16,28.0,132,429,12.0,24,63,32.0,117.0,1
3007,61,72,6,6,1,0,0,2,0,0.0,4,30,0.0,1,0,0.0,2.0,1
3008,39,89,7,17,2,0,0,5,1,1.0,8,22,0.0,0,3,2.0,2.0,0
3009,624,1607,186,361,71,9,39,200,7,8.0,176,317,15.0,4,10,9.0,47.0,1
3010,171,280,32,64,7,3,8,34,1,4.0,25,31,4.0,1,1,3.0,3.0,1
3011,41,55,5,15,1,0,2,8,0,0.0,3,17,0.0,0,0,0.0,1.0,1
3012,2353,7917,1036,2251,391,94,165,1077,317,136.0,898,1031,142.0,7,27,82.0,119.0,1
3013,1156,3859,557,916,113,27,23,279,343,78.0,478,508,3.0,14,56,30.0,64.0,0
3014,409,729,95,176,38,2,19,105,4,8.0,85,207,3.0,16,4,8.0,20.0,1
3015,1388,4724,713,1167,252,36,204,624,113,39.0,658,1147,38.0,5,23,38.0,74.0,1
3016,450,70,2,8,1,1,0,2,0,0.0,4,28,0.0,0,7,0.0,2.0,1
3017,195,610,57,143,27,1,7,57,4,2.0,24,78,3.0,9,6,3.0,18.0,1
3018,204,33,1,3,1,0,0,2,0,0.0,1,12,0.0,0,4,0.0,0.0,1
3019,1569,5758,838,1580,298,13,360,1011,76,31.0,551,1436,53.0,62,2,44.0,125.0,1
3020,74,1,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,0.0,1
3021,544,1526,133,336,58,6,34,154,9,24.0,59,317,4.0,7,30,12.0,41.0,1
3022,272,621,51,134,33,3,6,61,0,5.0,32,131,3.0,3,4,4.0,28.0,1
3023,7,2,2,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
3024,187,4,0,0,0,0,0,0,0,0.0,0,3,0.0,0,1,0.0,0.0,1
3025,703,1951,218,503,74,20,34,251,6,15.0,215,233,21.0,5,31,19.0,32.0,1
3026,56,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
3027,54,165,27,41,7,1,4,20,0,0.0,1,20,0.0,2,5,0.0,6.0,1
3028,66,52,7,17,4,0,0,5,0,0.0,4,4,0.0,0,0,0.0,3.0,1
