,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,NL
0,331,4,0,0,0,0,0,0,0,0.0,0,2,0.0,0,1,0.0,0.0,1
1,3298,12364,2174,3771,624,98,755,2297,240,73.0,1402,1383,293.0,32,21,121.0,328.0,1
2,437,944,102,216,42,6,13,94,9,8.0,86,145,3.0,0,9,6.0,36.0,1
3,448,5,0,0,0,0,0,0,0,0.0,0,3,0.0,0,0,0.0,0.0,1
4,15,21,1,2,0,0,0,0,0,1.0,4,5,0.0,0,0,0.0,1.0,1
5,363,9,0,1,0,0,0,0,0,0.0,0,5,0.0,0,0,0.0,1.0,1
6,248,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
7,263,21,0,2,0,0,0,3,0,0.0,0,10,0.0,0,3,0.0,0.0,1
8,233,596,82,157,33,2,18,83,6,5.0,38,91,2.0,3,5,7.0,12.0,1
9,57,31,2,3,1,0,0,2,0,0.0,1,19,0.0,0,6,0.0,0.0,1
10,702,2044,273,523,109,23,62,242,22,11.0,133,571,11.0,17,21,12.0,37.0,1
11,162,20,2,5,1,0,0,2,0,0.0,0,6,0.0,0,5,0.0,0.0,1
12,168,100,5,14,0,0,0,6,0,0.0,8,41,0.0,0,8,1.0,2.0,0
13,232,868,97,212,36,5,8,79,21,7.0,60,93,1.0,7,16,4.0,15.0,0
14,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
15,63,179,25,45,7,3,5,26,0,0.0,25,44,0.0,0,0,0.0,6.0,1
16,180,386,65,86,20,2,9,34,18,8.0,21,123,2.0,7,5,2.0,3.0,1
17,681,181,12,25,3,0,0,9,0,0.0,6,74,0.0,2,15,0.0,4.0,1
18,7,5,0,1,0,0,0,0,0,0.0,1,3,0.0,0,0,0.0,0.0,0
19,16,8,0,0,0,0,0,0,0,0.0,0,4,0.0,0,0,0.0,0.0,1
20,392,840,89,191,39,4,11,71,6,8.0,43,153,10.0,7,5,7.0,14.0,1
21,567,1611,257,433,64,19,32,138,12,18.5,304,290,2.0,7,16,4.0,22.0,1
22,3,1,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
23,2425,8480,1453,2470,574,59,288,1363,400,128.0,1476,1840,115.0,33,7,85.0,165.0,1
24,6,9,0,0,0,0,0,1,0,0.0,0,2,0.0,0,0,0.0,0.0,1
25,7,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
26,742,2913,398,858,180,13,146,488,8,3.0,209,624,46.0,67,0,24.0,86.0,0
27,9,28,4,6,1,0,1,3,0,0.0,4,4,0.0,0,0,0.0,1.0,1
28,224,579,61,147,39,6,6,60,2,4.0,22,116,2.0,5,1,8.0,20.0,1
29,38,2,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,0.0,1
30,262,7,0,1,0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,0.0,1
31,204,2,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,0.0,0
32,367,65,4,6,2,0,0,0,0,0.0,3,33,0.0,0,6,0.0,2.0,1
33,104,101,2,8,2,0,0,4,0,0.0,5,61,0.0,1,12,1.0,2.0,1
34,45,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
35,467,54,2,9,1,0,0,1,0,0.0,2,32,0.0,0,0,0.0,1.0,1
36,153,77,10,5,0,0,0,2,0,0.0,12,46,0.0,1,6,0.0,1.0,1
37,635,2125,261,512,94,18,46,216,31,12.0,194,419,10.0,5,11,12.0,25.0,0
38,5,6,0,2,1,0,0,1,0,0.0,1,4,0.0,0,0,0.0,0.0,0
39,107,7,0,0,0,0,0,0,0,0.0,0,6,0.0,0,0,0.0,0.0,1
40,57,29,1,1,0,0,0,0,0,0.0,1,15,0.0,0,0,0.0,0.0,1
41,55,60,4,9,1,0,0,1,1,0.0,11,22,0.0,0,3,0.0,0.0,0
42,233,6,0,0,0,0,0,0,0,0.0,1,4,0.0,0,0,0.0,0.0,1
43,114,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
44,111,433,78,127,26,4,26,64,16,5.0,45,123,2.0,6,0,3.0,4.0,1
45,1165,4019,378,1022,163,19,57,366,29,29.0,208,499,31.0,17,41,30.0,149.0,0
46,18,76,9,21,3,1,0,3,1,0.5,1,8,0.0,0,2,0.0,0.0,1
47,53,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0
48,8,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
49,302,99,9,12,0,0,0,2,0,0.0,6,14,0.0,0,8,0.0,2.0,1
50,576,2003,282,532,96,12,50,249,12,6.0,234,281,0.0,13,42,0.0,35.0,1
51,5,3,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
52,1281,4019,591,1082,188,49,37,303,67,51.0,414,447,1.0,17,78,5.0,62.0,1
53,208,406,29,88,13,6,2,29,1,1.0,21,65,0.0,0,15,0.0,0.0,1
54,15,24,2,6,1,0,2,2,0,0.0,0,5,0.0,0,0,0.0,0.0,0
55,78,232,14,54,7,2,1,17,4,2.0,6,27,0.0,0,3,0.0,0.0,1
56,2,3,1,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
57,166,306,31,63,8,4,2,20,2,4.0,28,69,1.0,5,4,0.0,6.0,1
58,3,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
59,43,140,10,27,5,1,2,13,0,0.0,9,43,0.0,2,1,0.0,4.0,0
60,8,14,1,3,0,0,0,1,0,0.0,1,3,0.0,0,0,0.0,1.0,0
61,37,89,9,18,2,3,2,11,0,0.0,2,18,0.0,0,2,0.0,0.0,0
62,661,1617,152,452,79,5,34,225,6,10.0,111,183,8.0,4,9,19.0,47.0,1
63,95,337,39,88,8,6,0,18,4,2.0,22,24,0.0,2,3,0.0,5.0,0
64,44,10,0,3,1,0,0,1,0,0.0,0,0,0.0,0,1,0.0,1.0,1
65,31,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
66,117,137,30,36,5,1,7,26,11,0.0,14,47,0.0,1,1,1.0,4.0,1
67,410,2,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
68,707,2026,248,539,113,6,96,332,4,4.0,139,501,15.0,10,0,15.0,38.0,1
69,11,6,1,2,0,1,0,1,0,0.0,0,4,0.0,0,1,0.0,0.0,0
70,100,118,27,23,5,0,3,9,2,1.0,32,29,0.0,2,0,0.0,2.0,1
71,120,247,35,53,5,1,4,16,3,2.0,10,37,3.0,5,7,0.0,5.0,1
72,286,884,125,218,46,7,17,113,15,5.0,85,118,2.0,5,8,11.0,14.0,0
73,29,89,9,25,4,0,0,7,0,0.0,6,25,0.0,1,0,0.0,7.0,0
74,8,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
75,1424,5557,844,1588,249,48,9,394,154,96.0,453,223,0.0,28,136,0.0,14.0,1
76,180,395,61,101,16,5,0,38,5,10.0,38,50,0.0,2,12,0.0,0.0,1
77,574,78,2,4,1,0,0,2,0,0.0,7,41,0.0,0,12,1.0,1.0,1
78,25,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
79,85,288,43,80,7,0,10,34,6,5.0,31,95,3.0,1,1,2.0,6.0,0
80,1,2,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,0.0,0
81,1959,6606,823,1832,295,35,336,1122,20,26.0,594,1059,55.0,17,52,35.0,223.0,1
82,56,1,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,0.0,1
83,208,534,70,150,22,2,2,47,8,6.5,37,47,0.0,0,5,0.0,9.0,1
84,70,144,11,34,8,1,1,15,0,1.0,2,27,0.0,0,1,3.0,1.0,1
85,149,391,48,92,18,4,5,39,7,2.0,29,108,0.0,0,3,3.0,5.0,0
86,4,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
87,106,262,36,70,7,3,3,32,3,2.5,19,29,0.0,0,0,0.0,1.0,1
88,3,7,2,1,0,0,0,0,0,0.0,2,2,0.0,0,0,0.0,0.0,0
89,38,22,2,5,1,0,1,3,0,0.0,0,10,0.0,0,1,0.0,0.0,1
90,76,116,9,21,3,3,0,6,1,0.0,6,26,0.0,1,10,0.0,0.0,0
91,119,1,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,0.0,1
92,5,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
93,106,256,9,43,3,1,1,11,0,0.0,18,80,5.0,2,2,1.0,9.0,1
94,43,50,2,7,3,0,0,5,0,0.0,0,21,0.0,0,5,0.0,0.0,1
95,338,788,99,191,48,4,11,89,17,6.0,63,167,4.0,9,14,9.0,9.0,1
96,45,79,4,15,2,2,0,7,0,0.0,5,32,0.0,0,1,1.0,1.0,1
97,774,17,0,3,0,0,0,2,0,0.0,2,6,0.0,0,0,0.0,0.0,1
98,383,1091,145,299,57,6,39,156,16,16.0,139,246,7.0,15,1,8.0,31.0,1
99,1129,3912,558,999,170,27,130,433,167,81.0,342,918,26.0,34,21,15.0,99.0,1
100,157,517,65,135,23,9,11,67,8,3.0,57,67,0.0,0,7,6.0,9.0,0
101,42,98,6,23,7,0,0,10,1,0.5,10,8,0.0,1,9,0.0,0.0,0
102,543,20,0,2,0,0,0,0,0,0.0,1,7,0.0,0,1,0.0,0.0,1
103,568,1104,142,260,43,10,37,109,7,5.0,94,220,12.0,20,14,12.0,27.0,1
104,149,230,26,53,13,2,3,16,2,2.0,16,61,1.0,0,2,0.0,3.0,1
105,447,388,14,33,7,1,0,21,1,0.0,14,236,0.0,0,24,1.0,4.0,1
106,317,829,122,219,41,2,51,165,0,0.0,87,258,4.0,11,0,14.0,28.0,1
107,737,139,12,28,3,0,3,11,0,0.0,6,37,0.0,0,16,0.0,1.0,1
108,4,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
109,455,1458,169,334,69,13,36,149,17,16.0,97,297,9.0,8,10,11.0,36.0,1
110,774,2492,301,675,125,2,110,415,3,6.0,319,444,42.0,18,0,27.0,87.0,0
111,211,665,57,146,19,4,2,37,12,5.0,37,128,2.0,4,12,3.0,16.0,0
112,458,1367,140,359,52,28,20,163,20,11.5,125,122,0.0,3,44,0.0,0.0,1
113,30,28,1,2,1,0,0,0,0,0.0,0,8,0.0,0,5,0.0,0.0,1
114,174,475,64,124,17,9,11,69,7,6.0,63,64,0.0,1,14,0.0,0.0,1
115,125,9,0,1,0,0,0,0,0,0.0,0,6,0.0,0,0,0.0,0.0,1
116,496,92,3,7,2,0,0,4,0,0.0,1,51,0.0,1,10,0.0,1.0,1
117,3,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
118,66,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
119,6,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
120,26,1,0,1,0,0,0,1,0,0.0,0,0,0.0,0,2,0.0,0.0,0
121,6,18,1,5,1,0,0,0,0,0.0,0,2,0.0,0,0,0.0,0.0,0
122,89,182,14,35,5,1,0,9,2,1.0,4,38,0.0,0,6,0.0,3.0,0
123,27,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
124,549,35,1,3,1,0,0,0,0,0.0,0,21,0.0,0,3,0.0,0.0,1
125,215,856,139,229,49,10,30,100,22,4.0,57,152,0.0,8,2,5.0,12.0,1
126,19,12,0,1,0,0,0,0,0,0.0,0,7,0.0,0,0,0.0,1.0,1
127,3,3,0,0,0,0,0,0,0,0.0,1,1,0.0,0,0,0.0,1.0,0
128,41,99,9,23,4,0,2,5,1,0.5,10,11,0.0,0,3,0.0,2.0,1
129,264,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
130,102,1,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,0.0,0
131,167,428,51,81,15,3,11,39,14,8.0,24,150,0.0,2,3,2.0,6.0,1
132,51,115,15,31,3,0,6,15,1,1.0,6,26,0.0,0,0,0.0,3.0,1
133,115,365,30,70,9,2,4,29,2,2.0,21,58,2.0,0,2,2.0,7.0,1
134,13,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
135,14,12,0,0,0,0,0,0,0,0.0,1,8,0.0,0,0,0.0,0.0,1
136,68,71,6,8,1,0,1,4,0,0.0,2,41,0.0,0,7,0.0,0.0,1
137,33,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
138,16,7,0,0,0,0,0,0,0,0.0,0,2,0.0,0,0,0.0,0.0,1
139,13,18,1,1,0,1,0,1,0,0.0,0,9,0.0,0,0,0.0,0.0,1
140,62,1,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,0.0,1
141,930,2147,277,565,104,9,41,271,19,18.0,314,381,29.0,5,14,18.0,43.0,1
142,229,1,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,0.0,1
143,215,549,42,128,13,4,2,58,2,0.5,10,38,0.0,0,30,0.0,0.0,1
144,118,320,34,67,11,3,2,34,3,1.5,31,35,0.0,1,4,0.0,7.0,1
145,9,1,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,0.0,0
146,562,265,19,44,8,0,0,17,0,0.0,9,77,0.0,1,23,2.0,7.0,1
147,662,2450,369,811,164,30,61,459,20,28.0,248,197,0.0,6,32,0.0,0.0,0
148,36,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
149,432,1276,169,293,45,11,55,202,8,12.0,154,381,12.0,5,4,19.0,34.0,1
150,364,913,71,204,26,5,7,100,0,4.0,49,139,0.0,1,59,0.0,0.0,1
151,7,11,0,1,0,0,0,0,1,0.0,0,5,0.0,0,0,0.0,0.0,0
152,594,1271,166,293,50,12,15,115,37,10.0,86,276,7.0,7,19,4.0,17.0,1
153,374,168,111,36,4,2,0,4,103,42.0,18,26,1.0,1,8,0.0,2.0,1
154,152,8,0,0,0,0,0,0,0,0.0,0,6,0.0,0,1,0.0,0.0,1
155,7,11,1,2,0,0,0,0,0,0.0,0,5,0.0,0,1,0.0,1.0,1
156,143,467,47,126,22,2,15,51,3,0.0,22,179,8.0,18,0,1.0,4.0,1
157,592,14,0,2,0,0,0,2,0,0.0,0,8,0.0,0,1,0.0,0.0,1
158,17,27,3,3,1,0,0,1,1,0.0,2,12,0.0,0,0,0.0,0.0,0
159,1506,5385,777,1532,282,18,146,744,53,17.0,596,617,22.0,41,31,55.0,110.0,1
160,193,591,44,142,24,3,17,67,1,2.0,17,158,9.0,9,4,3.0,17.0,1
161,1341,3971,551,1031,189,53,47,422,81,50.0,500,624,26.0,48,49,45.0,74.0,1
162,512,1486,145,357,48,4,16,140,23,18.0,87,223,4.0,9,35,16.0,27.0,1
163,19,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
164,3,1,1,1,0,0,0,0,0,0.0,0,0,0.0,0,2,0.0,0.0,1
165,116,344,44,70,19,2,12,41,3,0.0,42,137,6.0,1,0,2.0,4.0,1
166,204,31,0,4,1,0,0,0,0,0.0,1,16,0.0,0,2,0.0,0.0,0
167,3,3,1,1,0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,0.0,1
168,9,22,3,3,1,0,0,0,0,0.0,3,7,0.0,1,0,0.0,0.0,0
169,1139,3404,357,815,140,21,73,352,13,16.0,370,424,52.0,8,24,17.0,60.0,1
170,267,851,102,229,44,8,14,84,15,13.0,63,173,2.0,4,5,5.0,23.0,1
171,456,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
172,27,28,5,7,2,0,2,2,0,0.0,4,12,0.0,0,0,0.0,1.0,1
173,1749,6332,1099,1848,320,79,351,1119,133,52.0,894,1556,138.0,16,19,53.0,164.0,1
174,1281,4418,623,1325,255,45,47,501,84,44.5,223,310,0.0,14,110,0.0,38.0,1
175,416,1061,114,235,49,2,19,131,3,7.0,130,192,3.0,5,15,11.0,35.0,0
176,116,300,43,76,12,3,3,26,22,4.0,16,66,1.0,8,4,2.0,5.0,0
177,1195,3927,442,999,140,44,55,342,63,30.0,300,622,62.0,27,56,22.0,95.0,1
178,4,7,0,0,0,0,0,0,0,0.0,0,2,0.0,0,0,0.0,0.0,1
179,389,881,104,212,27,9,6,57,15,9.0,49,128,5.0,2,2,4.0,30.0,0
180,342,1031,155,268,49,8,15,114,42,20.0,104,228,1.0,24,21,10.0,9.0,1
181,86,273,23,61,10,0,4,21,6,5.0,33,52,0.0,1,6,0.0,8.0,0
182,365,716,82,124,12,3,4,64,1,0.0,33,155,0.0,0,36,0.0,8.0,1
183,42,54,10,12,3,0,0,3,12,4.0,8,5,2.0,1,2,0.0,1.0,0
184,8,9,2,1,1,0,0,0,0,0.0,2,3,0.0,0,0,0.0,1.0,1
185,159,40,2,8,1,0,1,1,0,0.0,0,14,0.0,0,3,0.0,1.0,0
186,434,115,3,15,2,2,0,7,0,0.0,3,51,0.0,0,11,0.0,0.0,1
187,58,110,17,31,3,2,0,9,0,0.0,8,17,0.0,4,5,0.0,0.0,1
188,31,50,8,11,2,0,0,3,1,0.0,2,11,0.0,1,1,0.0,0.0,0
189,7,11,2,1,0,0,1,1,0,0.0,3,5,0.0,0,0,0.0,1.0,1
190,21,45,4,8,1,0,1,2,0,0.0,1,6,1.0,0,1,0.0,1.0,0
191,1541,5032,811,1281,216,53,256,796,84,50.0,795,1033,30.0,34,25,35.0,115.0,0
192,11,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
193,121,418,38,83,8,6,3,30,1,1.0,56,84,0.0,2,3,3.0,3.0,1
194,65,165,19,38,7,0,4,15,2,2.0,29,48,2.0,1,3,2.0,1.0,0
195,254,4,0,0,0,0,0,0,0,0.0,0,2,0.0,0,2,0.0,1.0,1
196,210,4,0,0,0,0,0,0,0,0.0,0,3,0.0,0,0,0.0,1.0,1
197,646,2483,363,706,107,27,15,197,56,28.0,214,150,0.0,5,35,0.0,4.0,1
198,352,996,130,236,55,12,17,93,24,7.0,82,257,1.0,3,9,10.0,25.0,1
199,331,855,115,247,51,3,16,101,2,3.0,48,156,2.0,3,5,8.0,25.0,1
200,1236,3330,390,846,138,25,36,296,128,60.0,250,636,24.0,6,44,29.0,53.0,1
201,55,133,18,31,7,0,2,14,3,0.0,8,29,0.0,1,2,0.0,5.0,1
202,12,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1.0,1
203,50,1,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,0.0,1
204,19,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
205,14,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
206,47,142,11,30,4,0,2,12,4,1.0,6,33,0.0,0,0,1.0,3.0,0
207,116,48,2,8,1,0,0,3,0,0.0,1,17,0.0,0,2,0.0,1.0,0
208,2379,9073,1508,2724,504,80,210,1134,474,114.0,1032,1140,62.0,50,148,97.0,206.0,1
209,1377,4530,520,1236,249,10,112,588,25,24.0,212,499,15.0,41,48,34.0,132.0,1
210,1481,4760,558,1168,126,19,13,282,227,80.0,302,482,17.0,3,77,18.0,58.0,1
211,951,3070,357,814,168,2,90,389,22,7.0,327,578,26.0,14,1,26.0,81.0,1
212,2082,7339,985,2101,359,49,206,852,107,67.0,423,706,67.0,57,33,56.0,135.0,1
213,1380,4345,448,1216,170,26,32,377,31,46.0,138,267,32.0,30,44,20.0,143.0,1
214,1942,7037,1109,2134,421,39,332,1287,106,37.0,737,894,91.0,48,9,82.0,195.0,1
215,1667,5789,780,1777,236,50,31,427,156,80.0,311,377,38.0,36,55,29.0,101.0,1
216,189,332,48,79,7,4,3,35,20,21.0,28,44,3.0,2,7,5.0,4.0,0
217,6,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
218,91,271,30,66,15,2,4,36,3,5.0,25,46,0.0,2,0,1.0,6.0,1
219,1,1,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,0.0,1
220,78,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
221,65,8,1,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
222,14,3,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
223,310,955,134,217,52,10,36,147,21,10.0,107,307,4.0,22,1,5.0,32.0,1
224,991,3091,409,832,132,34,101,403,52,22.0,268,572,38.0,20,19,21.0,43.0,1
225,166,257,27,54,8,3,5,28,3,3.0,23,42,0.0,2,5,3.0,3.0,0
226,5,3,1,2,0,1,0,0,0,1.0,1,0,0.0,0,0,0.0,0.0,0
227,1119,4485,645,1419,272,25,97,464,248,69.0,319,541,38.0,46,24,36.0,125.0,1
228,298,652,75,167,31,2,23,93,1,2.0,73,103,3.0,4,4,4.0,16.0,0
229,4,1,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,0.0,0
230,2,5,1,1,0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,0.0,1
231,56,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
232,14,32,3,8,2,0,1,1,0,0.0,3,8,0.0,0,0,0.0,0.0,0
233,92,266,22,59,15,0,7,33,1,4.0,24,76,1.0,2,0,2.0,2.0,1
234,95,100,5,22,4,0,1,9,0,0.0,1,36,0.0,0,12,2.0,0.0,1
235,99,11,0,3,0,0,0,0,0,0.0,1,2,0.0,0,3,0.0,0.0,1
236,80,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
237,284,2,0,0,0,0,0,0,0,0.0,1,0,0.0,0,0,0.0,0.0,0
238,105,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
239,463,1160,116,248,43,4,5,84,11,10.0,49,160,10.0,3,14,5.0,27.0,1
240,95,198,20,42,3,0,0,5,1,1.0,16,27,0.0,0,5,0.0,1.0,0
241,25,51,4,8,2,0,2,8,0,0.0,0,5,0.0,0,0,0.0,0.0,1
242,910,2980,365,704,131,6,162,472,15,3.0,314,952,31.0,11,1,15.0,71.0,1
243,31,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
244,17,37,2,7,0,0,0,2,0,0.0,1,13,0.0,0,0,0.0,0.0,1
245,19,16,1,2,0,0,0,0,0,0.0,0,5,0.0,0,3,0.0,0.0,1
246,38,64,11,16,4,0,2,10,1,0.0,7,12,0.0,1,1,2.0,1.0,1
247,9,2,0,0,0,0,0,0,0,0.0,0,2,0.0,0,0,0.0,0.0,1
248,355,95,6,13,0,0,0,1,0,0.0,4,33,0.0,0,5,0.0,4.0,1
249,1013,3629,421,895,142,22,111,373,43,46.0,262,662,25.0,35,36,22.0,70.0,0
250,371,866,100,214,33,2,38,148,5,7.0,100,210,7.0,6,0,10.0,36.0,1
251,643,1715,248,418,67,19,9,123,19,26.0,185,224,9.0,12,17,8.0,37.0,1
252,702,1750,171,404,67,16,21,169,39,10.0,109,295,13.0,4,23,15.0,32.0,1
253,727,1788,305,493,82,10,11,159,112,39.0,176,277,1.0,16,29,13.0,37.0,0
254,485,927,99,218,43,9,16,100,15,10.0,88,128,2.0,16,11,8.0,22.0,1
255,940,2155,211,505,75,13,8,156,11,14.0,227,280,24.0,10,47,12.0,53.0,1
256,271,782,60,175,39,2,0,73,4,1.0,83,64,0.0,0,25,0.0,10.0,0
257,80,189,28,44,9,0,4,10,4,2.0,23,48,1.0,2,3,1.0,5.0,1
258,96,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
259,42,57,7,11,0,0,0,4,3,2.0,2,8,0.0,0,1,0.0,2.0,1
260,26,23,0,6,1,0,0,2,0,0.0,0,8,0.0,0,1,0.0,0.0,1
261,4,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
262,584,1408,173,348,47,19,12,110,49,26.0,112,223,7.0,14,28,8.0,21.0,1
263,517,1311,215,334,55,23,43,180,18,15.0,211,189,16.0,11,18,7.0,23.0,1
264,13,6,0,1,0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,0.0,1
265,150,1,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,0.0,0
266,122,223,23,41,8,1,2,17,0,1.0,22,36,0.0,0,3,0.0,11.0,0
267,126,390,56,93,11,3,1,17,6,3.0,33,49,0.0,1,5,0.0,7.0,1
268,1834,6499,1062,1661,338,67,210,761,315,100.0,960,1190,59.0,154,74,50.0,65.0,0
269,308,255,15,35,5,3,1,10,2,0.0,7,57,0.0,1,22,3.0,5.0,1
270,355,799,108,181,47,1,22,80,13,14.0,65,208,2.0,8,7,4.0,15.0,0
271,157,79,1,8,3,0,0,5,0,0.0,6,46,0.0,0,10,0.0,3.0,1
272,40,68,4,15,4,0,0,7,1,0.0,4,19,0.0,2,1,2.0,1.0,1
273,181,674,98,183,41,5,11,73,2,4.0,72,157,2.0,16,0,3.0,19.0,1
274,64,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
275,247,246,18,33,2,1,2,12,0,0.0,10,107,0.0,2,15,1.0,2.0,1
276,2,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
277,136,224,5,21,1,0,0,9,0,0.0,2,116,0.0,2,26,0.0,3.0,1
278,34,3,0,0,0,0,0,0,0,0.0,0,3,0.0,0,0,0.0,0.0,0
279,82,47,4,7,1,0,0,0,0,0.0,1,14,0.0,0,3,0.0,0.0,1
280,873,2026,244,490,73,12,19,143,49,30.0,206,331,17.0,5,37,13.0,49.0,1
281,9,9,3,1,0,0,0,0,0,0.0,1,4,0.0,0,0,0.0,0.0,1
282,7,3,0,0,0,0,0,0,0,0.0,0,1,0.0,0,1,0.0,0.0,1
283,149,306,33,62,6,2,1,14,2,2.0,32,70,2.0,2,2,0.0,6.0,1
284,97,234,20,61,12,0,2,15,1,0.5,18,25,0.0,4,7,0.0,6.0,1
285,2228,8640,1084,2529,522,36,287,1365,80,47.0,429,1224,104.0,8,13,87.0,197.0,1
286,484,1586,199,419,82,16,60,242,3,6.0,159,291,32.0,16,9,15.0,29.0,1
287,9,32,4,8,0,0,0,2,0,1.0,0,1,0.0,0,1,0.0,0.0,0
288,419,970,107,211,35,2,13,86,9,13.0,81,130,2.0,5,29,6.0,23.0,0
289,122,170,11,23,3,0,0,6,0,0.0,8,44,0.0,0,15,0.0,1.0,1
290,32,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
291,179,486,73,132,17,5,4,47,36,7.0,26,82,2.0,4,2,1.0,8.0,1
292,57,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
293,24,5,0,0,0,0,0,0,0,0.0,1,3,0.0,0,0,0.0,0.0,1
294,135,366,43,95,12,2,1,22,1,4.0,30,61,1.0,2,10,1.0,8.0,0
295,699,38,4,5,0,0,0,0,0,0.0,3,15,0.0,0,4,0.0,0.0,1
296,30,48,7,8,1,0,0,4,0,0.0,7,14,0.0,0,0,1.0,1.0,0
297,16,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
298,3,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
299,257,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
