retroID,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
justj101,0,0,43,5,3,2,0,0,0,0,0
jutzs101,179,5016,1001,99,19,16,27,0,128,63,0
karkr001,776,20918,4757,404,42,49,50,0,401,281,0
kattr101,290,7856,1553,143,32,21,44,27,55,57,2
kearb001,402,10681,2416,224,34,25,34,0,224,159,0
keare101,0,0,42,7,0,0,1,0,0,0,0
keatg101,0,6,1,0,0,0,0,0,0,0,0
keelb101,0,0,2,0,0,0,0,0,0,0,0
kellc002,27,894,265,16,1,0,0,0,11,5,0
kelld001,0,18,3,0,0,0,1,0,0,0,0
kellh103,0,0,50,5,1,1,1,0,0,0,0
kellp102,2,57,17,0,0,0,2,0,0,0,0
kenda101,4,170,27,3,0,1,4,4,5,1,0
kendf101,690,18640,3733,336,54,51,33,7,502,224,0
kendj001,1990,52435,13019,989,144,148,104,0,1222,495,0
kenne104,0,0,104,26,8,3,5,0,0,0,0
kennt001,1271,33540,6555,623,106,92,68,0,1051,478,0
kiebs001,39,1043,297,21,3,2,3,0,16,11,0
killb101,0,0,929,247,24,19,7,0,0,0,0
kimmb101,140,3746,704,63,18,7,7,0,96,58,0
kinei001,35,916,227,15,1,2,4,0,17,8,0
kingh102,160,4382,948,71,19,6,28,15,84,37,0
kingj101,0,12,1,0,0,0,1,0,1,0,0
kinkm001,2,51,14,1,0,0,0,0,2,0,0
kirke102,262,7071,1534,154,31,23,24,2,139,92,0
klevj101,0,33,10,0,0,0,0,0,0,0,0
kliml101,0,3,0,0,0,0,0,0,0,0,0
klinj102,0,0,2,0,0,0,0,0,0,0,0
klume101,0,0,31,2,2,0,3,0,0,0,0
klutc101,0,0,1893,331,49,46,25,0,0,0,0
kmakj001,53,1383,265,31,0,4,5,0,38,20,0
knapa001,93,2523,812,43,12,6,9,0,65,15,0
knica001,75,2150,468,41,11,4,9,0,82,27,0
knoej001,1,88,21,1,0,0,1,0,2,0,0
knorr001,192,5094,1281,99,14,11,22,0,173,57,0
knoxc101,0,0,23,10,3,2,2,0,0,0,0
koban101,3,96,26,3,0,0,2,3,0,0,1
koegp101,4,162,29,4,1,2,3,0,6,1,0
kolbg101,7,248,54,7,0,1,3,4,4,1,0
kopsg101,0,0,2,0,0,0,0,0,0,0,0
korcs101,38,1090,222,25,6,7,6,11,19,11,2
kottg001,202,5402,1423,68,13,6,21,0,160,34,0
kracj101,0,0,1,0,0,0,0,0,0,0,0
krate001,205,5642,1716,111,7,15,12,0,115,56,0
kravd101,127,3573,656,68,20,11,18,38,61,22,1
kreim101,0,0,112,14,1,3,0,0,0,0,0
kremj001,21,520,107,10,1,2,2,0,24,5,0
kreuc001,707,19410,4571,370,50,47,73,0,453,260,0
kruee101,0,0,724,185,36,13,19,0,0,0,0
krugc101,59,1589,356,34,8,7,7,16,26,19,2
kusna101,92,2620,596,61,20,7,17,0,69,32,0
kutcr001,0,8,1,0,0,0,0,0,0,0,0
lachr101,69,2036,453,33,11,4,5,26,56,10,1
lafop001,24,641,139,5,1,1,1,0,16,4,0
lafrr101,1,69,15,0,0,0,0,0,0,0,0
lairg001,679,18015,4509,380,52,60,55,0,387,207,0
lakea101,2,54,513,57,15,10,17,0,0,0,0
lakes001,315,8332,1671,210,20,17,16,0,185,152,0
laket001,170,4847,1146,100,21,13,28,0,158,44,0
lallb001,3,86,22,0,0,0,0,0,4,0,0
lamar101,0,0,1737,207,40,30,24,0,0,0,0
lambm001,1,21,10,1,0,0,1,0,3,0,0
lamog101,46,1419,344,34,9,0,8,0,35,22,0
lampt001,438,12161,2918,235,36,35,31,0,269,144,0
landh101,479,13144,3116,284,59,43,38,94,180,113,18
lapap101,0,0,36,10,2,0,1,0,0,0,0
laruj001,768,20540,4751,422,48,49,75,0,297,186,0
lau-c101,276,7311,1608,104,21,17,31,64,129,49,5
laudt001,570,14971,3122,217,53,31,31,0,415,176,0
lavam001,747,19697,4138,416,35,53,34,0,566,330,0
lavar001,74,2011,556,31,6,5,7,0,63,16,0
lawlt001,0,3,1,1,0,0,0,0,0,1,0
lawrj101,0,9,3,0,1,0,0,0,3,0,0
lazoj101,0,0,1,0,0,0,0,0,0,0,0
lecrm001,100,2619,634,27,13,8,10,0,80,16,0
lee-c101,0,0,142,44,6,3,7,0,0,0,0
