retroID,yearID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
doakb101,1919,13,14,31,29,13,3,0,608,182,70,5,55,69,0.24,3.11,0,5,2,0,822,2,87,0,0,0
dougp101,1919,10,6,25,19,8,4,0,485,133,36,0,34,63,0.23,2,0,3,2,1,641,5,52,0,0,0
dougp101,1919,2,4,8,6,4,0,0,154,53,12,0,6,21,0.26,2.1,0,0,1,0,216,2,22,0,0,0
dubuj101,1919,6,4,36,5,1,0,3,396,119,39,4,37,32,0.24,2.66,0,1,2,0,542,22,49,0,0,0
dumog101,1919,0,4,13,2,0,0,0,106,45,17,1,19,12,0.32,4.33,0,5,1,0,158,5,21,0,0,0
eckec101,1919,0,1,2,1,1,0,0,48,17,7,1,3,6,0.27,3.94,0,0,0,0,66,1,9,0,0,0
ehmkh101,1919,17,10,33,31,20,2,0,746,255,88,5,107,79,0.27,3.18,0,3,6,0,1043,2,114,0,0,0
elleh101,1919,19,9,38,30,16,7,2,745,216,66,7,50,137,0.23,2.39,0,0,4,1,987,8,80,0,0,0
engej101,1919,0,0,1,0,0,0,0,0,0,0,0,3,0,0,21.6,0,0,0,0,3,0,3,0,0,0
enzmj101,1919,3,2,14,4,2,0,0,166,67,14,0,8,13,0.31,2.28,0,2,2,0,225,4,29,0,0,0
erice101,1919,0,2,3,2,0,0,0,44,17,11,0,10,4,0.29,6.75,0,3,1,0,69,1,17,0,0,0
erice101,1919,6,11,20,15,7,1,0,396,130,58,7,63,86,0.25,3.95,0,5,7,1,581,5,69,0,0,0
evanb102,1919,0,4,7,3,2,0,0,110,41,23,1,18,15,0.29,5.65,0,0,0,0,166,3,25,0,0,0
faber101,1919,11,9,25,20,9,0,0,487,185,69,7,45,45,0.28,3.83,0,2,8,0,718,3,92,0,0,0
faett101,1919,0,0,6,0,0,0,0,55,13,1,0,10,7,0.22,0.49,0,0,0,0,68,4,4,0,0,0
fairr102,1919,0,0,2,0,0,0,0,6,5,2,0,0,0,0.62,9,0,1,0,0,10,2,2,0,0,0
filld101,1919,6,13,32,19,9,0,2,559,185,70,2,39,50,0.27,3.38,0,1,2,0,774,12,80,0,0,0
fishc101,1919,0,0,2,0,0,0,0,12,8,6,0,3,1,0.42,13.5,0,0,0,0,22,1,6,0,0,0
fishr101,1919,14,5,26,20,12,5,1,523,141,42,5,38,41,0.22,2.17,0,1,1,1,682,3,55,0,0,0
gallb103,1919,12,14,34,25,14,1,1,667,220,89,10,92,83,0.26,3.6,0,5,8,1,932,9,106,0,0,0
