retroID,BAOpp,ERA,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
schmj002,0.394,7.88,2,0,9,0,0,0,0,24,13,7,2,8,2,0,1,0,0,42,1,9,0,1,2
schmj101,0.2456,3.3433,93,114,366,235,86,16,20,5438,1766,714,97,757,746,5,40,35,6,7779,81,841,0,0,0
schms001,0.275,5.01,2,2,48,0,0,0,3,140,47,26,4,22,29,2,0,3,1,205,14,29,5,4,4
schmw101,0.2571,4.6529,31,29,194,55,11,1,2,1759,563,256,57,278,323,31,20,11,0,2534,50,281,0,0,0
schnd101,0.316,6.084,2,5,117,8,0,0,2,499,185,87,16,70,86,17,10,3,2,744,38,103,0,0,0
schnj101,0.29,4.88,0,0,11,0,0,0,1,72,27,13,4,12,17,1,0,1,0,109,7,15,3,0,2
schnk101,0.48,19.35,0,0,11,0,0,0,0,63,23,10,0,20,5,0,1,0,0,99,6,14,0,0,0
schnp101,0.19,3.41,0,1,7,4,0,0,0,87,19,11,1,22,11,0,2,3,0,124,1,14,0,0,0
schog101,0.27,4.008,28,41,136,62,24,3,4,1762,590,243,22,222,192,0,14,9,1,2546,45,300,0,0,0
schog102,0.4,7.36,0,1,1,1,0,0,0,11,6,3,1,1,1,0,0,0,0,16,0,3,0,0,0
schom001,0.2523,3.7533,15,29,260,0,0,0,98,875,283,113,23,103,248,19,14,5,3,1253,197,126,15,10,14
schop001,0.273,4.6925,66,77,288,176,3,1,2,3447,1198,586,140,420,813,36,24,39,5,4981,27,642,42,43,82
schos001,0.2682,4.915,47,57,577,93,2,1,9,2916,1035,541,112,398,568,38,28,47,6,4277,104,580,20,26,118
schra101,0.262,6.646,6,9,35,13,3,0,0,354,121,70,11,64,63,2,6,3,0,528,8,82,0,0,0
schrc001,0.2437,4.9767,2,5,62,0,0,0,0,236,65,39,11,36,85,4,0,7,0,346,11,43,4,3,4
schrj001,0.296,6.23,2,0,13,0,0,0,0,39,16,9,3,4,19,0,1,1,0,59,3,9,0,0,1
schrk001,0.2711,5.0443,51,51,176,137,22,3,1,2700,963,481,125,320,372,17,13,25,4,3907,12,535,38,40,65
schrp102,0.3433,2.7833,0,0,12,0,0,0,1,61,22,9,1,10,5,0,1,2,0,93,8,11,0,0,0
schrs001,0.246,5.81,3,6,52,2,0,0,1,221,66,43,9,27,55,4,2,8,0,318,14,44,4,2,5
schua001,0.2813,3.5333,6,2,73,0,0,0,1,279,89,33,9,32,78,4,4,1,0,391,17,43,1,1,8
schub001,0.2843,5.65,0,3,51,0,0,0,1,202,62,34,11,18,46,1,2,1,0,277,21,36,0,4,8
schub101,0.2388,3.9362,20,20,227,0,0,0,35,1040,303,140,38,116,264,24,15,15,3,1448,121,169,0,0,0
