retroID,GS,InnOuts,PO,A,E,DP
allak001,1,24,1,0,0,0
alleb001,99,2577,741,37,6,59
alleb101,0,822,16,51,4,4
alleb102,0,0,0,0,2,0
alleb104,0,0,8,0,1,0
alleb105,910,24078,2031,2347,100,558
allec001,189,4943,382,15,9,5
allec002,0,1322,14,32,3,2
alled001,5,198,49,1,0,5
alled101,1690,43662,7658,1711,245,756
allee101,0,0,2746,103,56,23
alleg001,1,54,4,4,0,2
alleg002,74,2306,210,2,1,1
alleg101,1038,28083,1879,3641,166,805
alleh101,0,0,2,1,0,0
alleh104,189,5852,460,95,25,20
allej001,253,7102,596,14,11,5
allej101,77,2039,55,155,9,16
allej102,0,0,104,366,21,24
allek101,14,414,27,42,2,8
allel001,1,48,4,0,0,0
allel101,19,891,15,46,3,5
allen001,59,2965,75,120,4,4
aller001,2,57,7,0,0,0
aller101,2,78,29,1,1,1
allib103,1376,36211,3546,162,84,108
allid001,0,33,0,0,0,0
allig101,110,2855,211,295,26,59
allrb001,46,1186,121,2,4,1
almaa001,0,644,6,20,1,2
almac001,1,717,9,34,3,2
almam101,0,0,1514,72,49,16
almoa001,248,6747,521,19,14,5
almoa002,181,5411,501,8,4,2
almob001,845,23398,1834,2265,173,435
almoe001,35,928,58,70,13,14
almoe002,0,34,0,3,0,0
almoh001,0,155,3,6,0,1
almom001,0,53,1,2,0,0
almoy001,0,44,0,1,0,0
almoz001,35,950,75,1,0,0
aloml101,0,0,15,28,0,1
alomr001,2288,59751,4463,6536,183,1411
aloms001,0,3,0,0,0,0
aloms101,1225,32911,2889,3463,158,817
alony001,799,21294,6571,458,48,573
alouf101,1742,47576,6537,322,96,330
alouj101,929,25099,1693,63,58,16
aloum001,1812,46996,3114,95,65,20
aloum101,1301,35642,3794,176,71,155
alstd101,65,1986,172,4,7,2
alstg001,0,18,0,1,0,0
alstt101,65,1845,605,75,9,63
alstw101,0,0,1,0,1,0
altad001,0,239,4,5,0,0
altap001,0,275,4,20,1,0
altee101,0,0,3,6,0,0
altha001,239,6530,498,15,5,6
altmg101,762,20328,1792,77,36,45
altoj101,57,1839,436,21,5,30
altrn101,0,0,0,2,1,0
altuj001,1072,28119,1691,2790,61,630
alusg101,141,3868,338,14,5,11
alvaa001,1,31,1,1,0,0
alvad001,0,144,0,3,0,0
alvad002,11,273,17,1,0,1
alvag001,55,1512,41,95,19,6
alvah001,95,1733,56,112,9,9
alvaj001,0,487,16,27,0,5
alvaj002,0,181,8,8,0,2
alvaj003,6,826,17,36,1,6
alvaj004,0,282,3,8,0,1
alval101,310,8628,538,967,60,169
alvao101,61,1638,126,183,10,38
alvao102,9,243,13,1,0,1
alvap001,679,17547,1352,1285,138,213
alvar001,0,84,2,3,0,0
alvar101,8,252,90,4,2,9
alvat001,13,175,5,7,1,2
alvat002,16,440,27,0,0,0
alvav001,1,48,0,1,0,0
alvaw001,263,5243,58,215,8,12
alvim101,944,25454,962,1693,123,144
alyeb101,219,5106,348,17,10,1
amalj101,408,11220,868,1149,71,222
amara001,423,12067,773,891,39,175
amarr001,416,11744,962,552,34,131
amarr002,160,5380,466,17,6,4
amarr101,631,17959,1532,1864,108,421
amblw101,0,0,478,683,62,126
ambrc001,43,1204,102,2,2,0
ambrh001,0,318,4,19,0,1
amele001,9,353,36,0,0,0
amesr101,0,0,1,19,1,0
amess001,0,12,1,0,0,0
ameza001,327,9672,838,430,26,71
amors101,316,8621,635,22,16,2
amorv101,4,100,2,7,0,0
andea001,128,2456,41,131,4,12
andea101,0,0,118,152,15,38
andea102,0,0,173,264,30,46
andeb001,1585,42504,3713,60,42,16
andeb002,245,4641,76,313,18,21
andeb003,209,6257,562,7,5,3
andeb004,145,2464,11,161,4,9
andeb005,1,27,5,1,1,1
andeb006,174,4668,229,126,12,10
andeb101,6,447,13,14,3,0
andeb102,93,2519,46,165,13,14
andeb103,0,0,0,0,0,0
andec001,133,2154,39,83,6,6
andec002,24,456,12,19,1,3
andec101,17,577,12,48,3,4
anded001,510,14968,894,1556,73,274
anded002,1,28,1,0,0,0
anded003,1,45,1,1,1,0
anded101,71,2189,138,220,25,37
andeg001,1885,49549,4057,109,48,18
andeh101,409,10697,1251,69,24,54
andeh102,0,0,21,1,0,1
andej001,278,7838,496,902,68,181
andej002,96,1724,24,118,5,8
andej003,0,114,1,2,0,0
andej004,115,3293,268,7,6,1
andej005,0,166,5,6,1,1
andej102,1,134,3,10,0,0
andek001,117,3055,177,362,19,82
andel001,1,2986,97,151,25,14
andel002,12,414,113,12,1,10
andel101,1,124,4,5,0,0
andem001,0,16,0,1,0,0
andem002,0,770,16,23,2,1
andem003,752,19437,1619,1754,83,434
andem101,373,11135,969,43,21,11
ander001,10,290,10,10,0,0
ander101,2,36,0,3,1,0
ander102,0,0,3,24,1,2
andes001,7,164,4,8,0,1
andes101,145,3734,343,403,12,70
andet001,394,10359,527,999,62,207
andet002,66,1129,12,62,5,6
andet003,0,34,1,3,0,0
andew102,0,0,0,4,0,0
andir001,361,10049,605,1033,39,238
andrb101,0,0,1,2,1,1
andrc001,2,62,0,1,0,0
andre001,1431,37855,2291,4047,178,974
andre102,0,0,0,2,0,0
andre103,0,0,8,25,0,1
andrf101,7,210,23,21,0,7
andrh101,0,0,0,4,0,0
andri101,0,0,30,174,9,13
