retroID,GS,InnOuts,PO,A,E,DP,PB,WP,SB_A,CS_A,ZR,weight,height,debutYear,finalYear,bats_L,bats_R,throws_L,throws_R,G,AB,PA,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,NL
moraj001,11,418,77,8,1,0,7,0,25,4,0,0.454918,0.4,1973,1984,0,1,0,1,733,1305,1428,126,375,275,68,6,26,207,0,4,89,182,28,6,13,15,57,1
moraj002,41,1147,300,19,8,0,8,0,31,16,0,0.508197,0.4,2007,2011,0,0,0,1,96,218,252,25,63,51,12,0,0,21,0,1,29,48,5,0,0,5,7,1
moraw001,3,78,22,2,0,1,0,0,0,2,0,0.434426,0.35,2000,2000,0,1,0,1,3,11,11,1,3,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0
mordm001,0,27,10,0,0,0,0,0,4,0,0,0.405738,0.4,1994,2005,0,1,0,1,793,1362,1512,157,333,227,75,7,24,132,13,13,112,261,9,5,25,8,19,1
morek001,137,3708,796,77,19,12,10,0,177,66,0,0.467213,0.45,1978,1989,0,1,0,1,1306,4581,5082,511,1279,930,214,14,121,674,28,33,405,515,56,13,18,65,140,1
mortc001,4,130,26,5,0,0,0,0,5,1,0,0.631148,0.7,2007,2008,0,1,0,1,10,16,19,2,1,1,0,0,0,1,0,0,2,5,0,0,0,1,0,1
mosej101,287,7750,1782,146,31,20,35,13,149,86,0,0.54918,0.6,1965,1975,0,1,0,1,386,1072,1159,89,269,188,48,8,25,109,1,4,63,184,19,8,7,9,27,1
mosqj001,8,226,59,2,0,0,3,0,3,1,0,0.446721,0.45,1996,2005,0,1,0,1,12,31,32,2,7,4,3,0,0,2,0,1,0,5,0,1,0,0,0,1
mossc101,0,0,38,5,3,0,2,0,0,0,0,0.344262,0.35,1934,1936,0,1,0,1,47,57,65,6,14,12,1,1,0,12,1,0,7,5,0,0,1,0,0,0
mossl101,120,3444,2612,279,64,52,45,30,46,19,3,0.528689,0.4,1946,1958,0,1,0,1,824,2234,2549,210,552,410,75,4,63,276,1,5,282,316,3,6,26,1,80,0
motam101,0,6,2,0,0,0,2,0,0,0,0,0.344262,0.35,1962,1982,0,1,0,1,1536,3779,4227,496,1149,941,125,52,31,438,50,42,289,320,43,28,95,36,99,1
muelr101,0,0,3095,503,43,66,32,0,0,0,0,0.405738,0.3,1935,1951,0,1,0,1,985,2911,3238,281,733,531,123,23,56,373,14,7,250,322,0,13,64,0,77,1
munon001,0,12,6,0,0,0,0,0,0,0,0,0.54918,0.55,1995,1995,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
munse001,66,1757,412,24,3,4,6,0,41,11,0,0.590164,0.6,2000,2009,1,0,0,1,361,1056,1186,97,226,137,37,3,49,147,4,2,104,234,6,12,2,12,20,1
munst101,1265,33326,6253,742,127,82,93,9,533,427,1,0.467213,0.4,1969,1979,0,1,0,1,1423,5344,5903,696,1558,1184,229,32,113,701,48,50,438,571,59,42,21,58,160,0
murpd001,77,2075,424,52,17,4,31,0,91,32,0,0.54918,0.65,1976,1993,0,1,0,1,2180,7960,9040,1197,2111,1324,350,39,398,1266,161,68,986,1748,159,28,6,60,209,1
murpj001,138,4071,1254,91,11,4,15,0,70,27,0,0.528689,0.4,2013,2018,0,1,0,1,233,559,604,54,125,83,27,1,14,52,0,0,33,165,1,2,5,5,9,1
murpt002,44,1188,400,24,8,2,5,0,27,10,0,0.590164,0.5,2015,2018,0,1,0,1,81,196,210,19,43,21,11,1,10,34,1,1,13,82,3,1,0,0,4,1
murrr102,18,455,855,129,13,21,20,4,9,7,0,0.52459,0.6,1948,1954,0,1,0,1,250,731,795,69,184,133,37,6,8,80,1,0,55,67,0,1,8,0,24,0
myatg101,0,0,2061,419,66,47,43,0,0,0,0,0.364754,0.4,1920,1936,1,0,0,1,1004,2678,2989,346,722,510,137,37,38,387,20,18,248,195,0,12,51,0,0,1
myerg001,737,19283,4404,357,55,43,41,0,505,230,0,0.508197,0.5,1987,2005,1,0,0,1,1108,3042,3352,333,776,532,150,7,87,396,3,12,268,539,28,3,12,27,106,1
nahob001,218,5920,1072,121,21,15,14,0,200,75,0,0.508197,0.55,1976,1984,0,1,0,1,308,844,920,74,203,134,41,3,25,109,1,4,56,118,3,6,5,9,19,1
napom001,485,13046,3377,243,38,23,29,0,328,106,0,0.610656,0.5,2006,2017,0,1,0,1,1392,4572,5329,697,1125,623,224,11,267,744,39,24,650,1468,31,69,2,36,114,0
narah101,238,6590,1325,93,13,14,25,47,98,53,6,0.344262,0.45,1951,1962,1,0,0,1,424,985,1088,83,262,218,27,11,6,87,1,1,76,62,6,7,12,8,23,0
narrj001,197,5615,998,78,12,13,21,0,150,66,0,0.528689,0.6,1979,1987,1,0,0,1,392,840,926,64,177,131,23,2,21,96,0,0,67,127,8,4,9,6,21,0
narrs101,0,0,15,1,0,0,0,0,0,0,0,0.42623,0.35,1935,1943,0,1,0,1,24,28,29,0,8,8,0,0,0,1,0,0,1,2,0,0,0,0,0,1
narvo001,177,4712,1344,87,15,5,19,0,141,39,0,0.590164,0.4,2016,2018,1,0,0,1,221,634,734,66,174,133,28,1,12,54,0,2,90,124,3,3,5,2,13,0
natab001,79,2199,538,45,8,7,14,0,65,28,0,0.467213,0.4,1992,1997,0,1,0,1,120,289,330,13,57,40,10,3,4,19,2,1,30,68,5,4,4,3,11,1
natop101,0,0,13,0,0,0,2,0,0,0,0,0.508197,0.5,1953,1953,0,1,0,1,6,12,14,2,2,2,0,0,0,1,0,0,2,1,0,0,0,0,0,1
navad001,820,21989,6113,422,67,54,50,0,476,186,0,0.569672,0.3,2004,2016,0,0,0,1,1009,3207,3551,322,802,577,142,6,77,367,14,12,265,518,20,19,31,29,80,1
