retroID,GS,InnOuts,PO,A,E,DP,weight,height,debutYear,finalYear,pos_1B,pos_2B,pos_3B,pos_C,pos_OF,pos_P,pos_SS,bats_L,bats_R,throws_L,throws_R,G,AB,PA,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,NL
aaroh101,2977,78414,7436,429,144,218,0.42623,0.45,1954,1976,0,0,0,0,1,0,0,0,1,0,1,3298,12364,13940,2174,3771,2294,624,98,755,2297,240,73,1402,1383,293,32,21,121,328,1
aarot101,206,6472,1317,113,22,124,0.467213,0.6,1962,1971,1,0,0,0,0,0,0,0,1,0,1,437,944,1045,102,216,155,42,6,13,94,9,8,86,145,3,0,9,6,36,1
abada001,4,138,37,1,1,3,0.442623,0.5,2001,2006,1,0,0,0,0,0,0,1,0,1,0,15,21,25,1,2,2,0,0,0,0,0,1,4,5,0,0,0,0,1,1
abboj002,140,3688,299,2,8,0,0.467213,0.55,1997,2001,0,0,0,0,1,0,0,0,1,1,0,233,596,649,82,157,104,33,2,18,83,6,5,38,91,2,3,5,7,12,1
abbok002,504,13474,938,1262,79,275,0.42623,0.4,1993,2001,0,0,0,0,0,0,1,0,1,0,1,702,2044,2227,273,523,329,109,23,62,242,22,11,133,571,11,17,21,12,37,1
aberb001,217,5782,445,590,22,154,0.446721,0.5,2001,2005,0,1,0,0,0,0,0,0,1,0,1,232,868,955,97,212,163,36,5,8,79,21,7,60,93,1,7,16,4,15,0
aberc101,0,0,76,8,8,2,0.508197,0.45,1947,1949,0,0,0,0,1,0,0,0,1,0,1,63,179,204,25,45,30,7,3,5,26,0,0,25,44,0,0,0,0,6,1
aberr001,96,2624,272,7,6,2,0.569672,0.6,2006,2008,0,0,0,0,1,0,0,0,1,0,1,180,386,421,65,86,55,20,2,9,34,18,8,21,123,2,7,5,2,3,1
abnes001,199,5979,566,10,4,3,0.467213,0.5,1987,1992,0,0,0,0,1,0,0,0,1,0,1,392,840,902,89,191,137,39,4,11,71,6,8,43,153,10,7,5,7,14,1
abrac101,208,5500,850,33,21,7,0.446721,0.45,1949,1956,0,0,0,0,1,0,0,1,0,1,0,567,1611,1942,257,433,318,64,19,32,138,12,18.5,304,290,2,7,16,4,22,1
