,retroID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,NL
14992,wrigc102,360,378,31,69,17,1,4,32,0,1.0,15,120,0.0,0,27,1.0,9.0,0
14993,wrigd001,70,6,0,0,0,0,0,0,0,0.0,0,2,0.0,0,0,0.0,0.0,0
14994,wrigd002,1585,5998,949,1777,390,26,242,970,196,65.0,762,1292,73.0,45,0,65.0,152.0,1
14995,wrigd003,14,5,0,0,0,0,0,0,0,0.0,0,2,0.0,0,1,0.0,0.0,1
14996,wrige101,101,128,15,27,8,0,0,10,0,0.0,5,12,0.0,1,6,0.0,3.0,1
14997,wrigg001,627,2160,231,529,88,18,42,208,19,29.0,126,314,21.0,9,14,13.0,40.0,1
14998,wrigg102,1119,4153,584,1219,203,76,94,723,38,23.5,209,407,0.0,5,113,0.0,9.0,1
14999,wrigj001,722,443,26,64,15,1,1,17,0,0.0,12,179,0.0,0,52,0.0,3.0,1
15000,wrigj002,227,78,6,11,2,0,1,6,0,0.0,3,42,0.0,0,10,1.0,0.0,1
15001,wrigj101,24,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
15002,wrigj103,35,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
15003,wrigj104,4,4,1,0,0,0,0,0,0,0.0,1,3,0.0,0,0,0.0,0.0,0
15004,wrigk001,4,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
15005,wrigk101,113,28,1,2,0,0,0,0,0,0.0,1,14,0.0,0,1,0.0,0.0,0
15006,wrigm001,91,3,0,1,0,0,0,0,0,0.0,0,1,0.0,0,1,0.0,0.0,0
15007,wrigm101,58,11,0,0,0,0,0,0,0,0.0,0,3,0.0,0,0,0.0,0.0,1
15008,wrigr001,57,8,1,1,1,0,0,1,0,0.0,0,2,0.0,0,0,0.0,0.0,1
15009,wrigr002,1,3,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,1.0,0
15010,wrigr101,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
15011,wrigr102,929,2992,427,889,152,34,60,425,35,27.0,215,152,0.0,22,54,0.0,0.0,1
15012,wrigr104,75,89,10,14,2,1,0,1,0,0.0,8,26,0.0,0,7,0.0,0.0,0
15013,wrigs001,76,5,0,0,0,0,0,0,0,0.0,0,3,0.0,0,1,0.0,0.0,0
15014,wrigt101,341,685,75,175,28,11,6,99,2,1.0,76,123,0.0,7,5,1.0,14.0,0
15015,wrigt102,1029,3583,465,1115,175,55,38,553,32,33.0,346,155,0.0,27,25,0.0,76.0,0
15016,wrigw001,373,16,2,1,0,0,0,0,0,0.0,0,8,0.0,0,1,0.0,0.0,1
15017,wronr001,79,168,16,41,6,1,3,18,1,0.0,5,41,2.0,1,2,2.0,3.0,1
15018,wuerm001,426,6,0,0,0,0,0,0,0,0.0,0,5,0.0,0,1,0.0,0.0,1
15019,wuesy101,83,217,18,41,4,2,0,19,1,4.0,15,41,0.0,1,9,0.0,0.0,0
15020,wunsk001,258,1,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,0.0,1
15021,wurmf101,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
15022,wyatj101,4,12,1,2,0,0,0,1,0,0.0,2,1,0.0,0,2,0.0,0.0,0
15023,wyatj102,435,83,2,4,0,0,0,1,0,0.0,3,50,0.0,1,5,0.0,0.0,0
15024,wyatw101,366,607,53,133,26,2,7,69,0,0.0,26,111,0.0,2,34,0.0,20.0,1
15025,wyneb001,1301,4330,498,1102,176,15,65,506,10,13.0,626,428,41.0,17,58,36.0,119.0,0
15026,wynna001,42,110,16,28,2,0,4,11,0,0.0,5,25,0.0,0,3,0.0,7.0,0
15027,wynnb102,42,55,1,6,0,1,0,2,0,0.0,3,13,0.0,0,7,0.0,1.0,1
15028,wynne101,796,1704,136,365,59,5,17,173,1,0.0,141,330,0.0,2,52,4.0,33.0,0
15029,wynnj101,1920,6653,1105,1665,285,39,291,964,225,101.0,1224,1427,84.0,27,32,74.0,117.0,1
