retroID,weight,height,debutYear,finalYear,pos_1B,pos_2B,pos_3B,pos_C,pos_OF,pos_P,pos_SS,bats_L,bats_R,throws_L,throws_R,G,AB,PA,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,NL
kanet101,0.344262,0.35,1938,1938,0,1,0,0,0,0,0,0,1,0,1,2,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1
kangj001,0.54918,0.45,2015,2019,0,0,1,0,0,0,0,0,1,0,1,297,917,1028,120,233,134,50,3,46,144,8,5,75,239,1,32,0,4,25,1
kaplg001,0.467213,0.55,1998,2010,0,0,0,0,1,0,0,0,1,0,1,1104,2983,3314,443,799,525,176,16,82,386,77,30,269,480,6,17,20,25,68,1
karcm001,0.692623,0.65,1995,2000,0,0,0,0,0,1,0,0,1,0,1,223,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
kardp101,0.54918,0.75,1936,1936,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
karij001,0.631148,0.6,2019,2019,0,0,0,0,0,1,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
karkr001,0.54918,0.5,1986,1997,0,0,0,1,0,0,0,0,1,0,1,939,2597,2948,336,574,352,120,6,96,335,24,14,233,749,8,26,65,27,39,0
karla101,0.405738,0.5,1943,1947,0,0,0,0,0,1,0,0,1,0,1,197,95,105,10,16,15,1,0,0,6,0,0,8,22,0,0,2,0,3,1
karlb101,0.467213,0.5,1930,1930,0,0,0,0,1,0,0,0,1,0,1,2,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
karls001,0.487705,0.55,1995,2000,0,0,0,0,0,1,0,1,0,1,0,179,134,167,11,19,14,2,1,2,7,0,1,8,42,0,1,23,1,1,1
karnj001,0.467213,0.55,2001,2005,0,0,0,0,0,1,0,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
