retroID,G,AB,PA,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,NL
huntb001,699,1555,1742,187,364,200,90,7,67,259,4,9,141,335,11,11,10,25,32,1
huntb002,1000,3347,3659,500,882,683,146,28,25,241,260,61,243,581,1,13,27,29,46,1
huntb104,22,17,24,5,5,3,2,0,0,2,0,0,5,2,0,1,1,0,0,0
huntb105,630,1875,2052,166,410,318,58,18,16,144,23,12,111,192,5,8,49,9,45,0
huntc001,19,38,41,4,4,3,0,0,1,1,0,1,3,6,0,0,0,0,1,1
hunte101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hunth101,13,14,17,5,1,1,0,0,0,0,0,3,2,1,0,0,1,0,0,1
huntj001,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
huntj101,515,658,710,60,149,124,16,3,6,51,2,0,8,160,0,0,39,5,10,0
huntj102,16,22,26,2,4,3,1,0,0,3,0,0,4,4,0,0,0,0,0,1
huntk101,29,39,44,0,7,5,2,0,0,3,0,0,2,19,0,0,3,0,0,1
huntk102,310,782,889,107,177,98,42,4,33,111,9,4,85,222,4,5,9,8,21,0
huntr001,35,67,73,5,13,11,0,0,2,6,0,1,5,21,2,0,1,0,2,1
huntr002,15,18,23,2,3,2,1,0,0,0,0,0,1,5,0,0,4,0,0,1
huntr101,1483,5235,6158,745,1429,1144,223,23,39,370,65,55,555,382,22,243,103,22,100,1
hunts101,237,636,758,81,131,95,19,1,16,60,1,3,108,122,10,1,9,4,12,1
huntt001,2372,8857,9692,1296,2452,1562,498,39,353,1391,195,99,661,1741,52,97,6,71,262,0
huntt002,448,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
huntw101,60,36,38,2,6,6,0,0,0,2,0,0,2,11,0,0,0,0,0,1
huntw102,69,14,16,1,4,4,0,0,0,0,0,0,0,7,0,0,2,0,0,1
huppd001,17,21,25,1,1,1,0,0,0,0,0,0,2,7,0,0,2,0,1,0
hurdc001,515,1391,1596,162,360,235,81,12,32,193,1,6,176,261,18,7,5,17,28,1
hurdt101,99,29,32,3,8,7,1,0,0,1,0,0,1,5,0,0,2,0,1,0
hurle001,5,2,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
hursb001,380,274,331,11,31,26,5,0,0,8,0,0,20,141,0,0,37,0,1,1
hursb002,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hursd101,905,3275,3762,510,976,643,190,28,115,610,41,20.5,391,210,0,15,81,0,16,1
hursj001,10,4,6,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1
hursj002,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hursj003,13,17,19,1,3,1,1,0,1,1,0,0,2,6,0,0,0,0,0,0
hursj004,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hurte001,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
huskb001,642,2078,2277,259,555,367,98,4,86,336,21,17,164,384,15,4,3,28,66,1
husoj001,827,1879,2126,242,439,353,65,13,8,150,64,21,191,228,9,6,34,16,55,1
hustc101,6,22,25,2,3,3,0,0,0,2,0,0,2,3,0,0,1,0,0,0
hustw101,71,109,121,12,18,14,4,0,0,4,0,1,10,14,0,1,1,0,3,1
hutcc001,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hutcd001,102,11,12,0,3,3,0,0,0,0,0,0,1,5,0,0,0,0,0,1
hutcf101,354,650,734,71,171,141,23,3,4,83,6,1,66,30,0,3,15,0,19,0
hutci101,209,171,182,12,24,23,1,0,0,7,0,0,3,52,0,0,8,0,3,1
hutcj101,155,130,139,7,21,15,6,0,0,8,0,0,7,24,0,0,2,0,4,1
hutcj102,55,184,202,19,43,32,4,1,6,21,1,0.5,15,13,0,1,2,0,5,1
hutsh101,20,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
hutsr101,7,8,10,1,4,4,0,0,0,1,0,0,1,1,0,0,1,0,0,1
huttj101,61,97,106,7,17,12,2,0,3,12,0,0,5,22,0,0,2,2,3,1
huttm001,84,23,24,2,7,6,0,0,1,2,0,0,0,6,0,0,1,0,1,1
huttt101,952,1655,1919,196,410,318,63,7,22,186,15,21,234,140,24,0,20,10,50,1
hwanj001,18,52,57,2,8,6,1,0,1,5,0,0,5,15,0,0,0,0,1,1
hyded101,169,43,50,3,4,4,0,0,0,1,1,0,3,16,0,0,4,0,2,0
hyert001,133,230,260,22,50,39,8,1,2,19,3,0,27,32,2,0,2,1,4,1
hynec001,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hyzda001,221,358,407,54,82,45,18,0,19,61,1,1,41,98,0,3,1,4,5,1
iannc001,1197,3563,4253,449,820,487,181,11,141,502,11,10,576,1024,29,69,9,36,83,1
ibanr001,2161,7471,8278,1055,2034,1254,424,51,305,1207,50,29,713,1374,83,29,2,63,166,1
ibare001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
igarr001,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
igawk001,16,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
iglej001,802,2706,2915,309,739,549,146,12,32,247,52,30,132,354,6,40,24,13,65,1
igler001,252,47,48,0,4,2,1,1,0,1,0,0,0,17,0,0,1,0,0,1
ignag101,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ignam001,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iguct001,493,1841,2078,267,494,348,91,11,44,205,48,13,189,387,1,12,22,14,40,1
ilslb001,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
incap001,1284,4233,4677,546,1043,622,194,21,206,655,33,26,360,1277,21,45,1,38,85,1
incie001,759,2922,3194,418,835,635,134,27,39,243,113,44,220,400,11,18,18,16,34,1
infaa001,60,55,62,11,6,5,1,0,0,0,1,0,2,12,0,1,4,0,3,1
infag001,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
infao001,1507,5271,5698,609,1427,1032,260,53,82,542,80,33,296,776,11,14,64,53,89,1
ingeb001,1532,5014,5617,563,1166,748,228,38,152,648,45,40,443,1306,16,68,45,47,102,1
inglj001,333,808,898,100,229,170,36,17,6,77,19,4,65,144,0,8,14,3,7,1
ingrg001,82,142,162,17,37,31,3,0,3,12,4,0,17,33,3,0,3,0,3,1
ingrm101,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ingrr001,16,31,35,3,6,6,0,0,0,3,0,1,3,3,0,0,0,1,1,0
innij001,288,9,12,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1
iorgd001,743,1647,1782,149,455,327,103,11,14,216,5,7,107,180,15,2,2,24,54,1
iorgg001,931,2450,2615,251,633,472,125,16,20,238,23,17,114,298,9,11,21,19,55,0
iotth102,26,23,29,1,3,1,2,0,0,4,0,0,4,9,0,0,2,0,1,1
irabh001,126,28,34,1,3,3,0,0,0,1,0,0,1,13,0,0,5,0,1,1
irelt101,11,7,8,3,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
iribh001,48,72,74,8,19,13,3,3,0,4,1,0,2,19,0,0,0,0,2,1
irvic001,16,6,8,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1
irvid001,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
irvim101,764,2499,2893,366,731,504,97,31,99,443,28,8.5,351,220,5,23,9,11,81,1
irwip001,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
irwit101,3,9,12,1,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0
irwiw101,4,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
isalo101,3,5,6,1,2,1,0,1,0,3,0,0,1,0,0,0,0,0,0,1
ishik001,105,164,191,10,18,16,0,1,1,10,0,0,4,73,0,0,23,0,4,1
ishit001,488,944,1050,114,241,164,49,5,23,137,3,2,85,257,10,9,6,6,21,1
isrij001,724,104,120,11,21,14,4,1,2,16,0,0,5,36,0,1,8,2,1,1
iviem101,857,2694,2962,309,724,493,133,17,81,411,22,16,214,402,34,17,10,27,61,1
iwakh001,150,11,15,0,0,0,0,0,0,0,0,0,1,8,0,0,3,0,0,0
iwama001,408,1545,1755,222,413,301,74,22,16,117,32,16,183,330,3,6,9,12,9,1
izquh001,20,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
izquh101,16,26,28,4,7,5,2,0,0,2,0,0,1,2,0,0,1,0,0,0
iztuc001,1310,4350,4679,441,1103,875,177,34,17,312,110,53,226,431,21,22,63,18,88,1
iztum001,909,3013,3350,406,810,595,159,17,39,334,93,33,267,355,11,24,22,24,61,1
jablr101,808,2562,2807,297,687,467,126,11,83,438,16,13,196,330,11,15,3,31,73,1
jacka001,1115,4200,4653,621,1145,809,218,53,65,381,114,45,374,1120,9,22,28,29,81,1
jacka002,4,13,15,0,0,0,0,0,0,0,0,0,1,5,1,1,0,0,1,1
jacka101,373,435,478,37,69,52,14,2,1,23,2,1,13,155,0,1,26,3,8,1
jackb001,694,2393,2626,341,598,357,86,14,141,415,82,32,200,841,20,14,2,17,40,0
jackb002,51,124,147,14,21,10,6,1,4,9,0,3,23,60,0,0,0,0,1,1
jackc001,82,156,176,10,34,23,8,1,2,14,2,2,14,35,4,0,5,1,3,1
jackc002,658,2184,2485,291,591,407,123,9,52,295,27,6,252,291,10,27,4,18,65,1
jackd001,356,428,494,28,54,40,12,2,0,28,0,2,10,219,0,1,54,1,2,1
jackd002,960,2629,2816,311,676,467,114,15,80,317,43,17,131,480,16,11,27,18,60,1
jackd003,827,2209,2509,332,536,366,121,17,32,198,133,39,245,517,11,24,17,14,28,1
jackd004,3,3,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
jackd101,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacke001,429,297,335,24,49,43,4,0,2,13,1,1,14,128,0,0,23,1,0,1
jackg101,718,236,252,20,32,27,2,1,2,17,0,0,7,90,0,1,8,0,3,1
jackj001,34,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
jackj101,285,1086,1246,184,399,273,73,34,19,217,18,16.5,116,24,0,11,33,0,0,0
jackj102,10,21,21,2,3,2,1,0,0,1,0,0,0,8,0,0,0,0,0,1
jackk001,8,16,18,1,4,2,2,0,0,2,0,0,1,4,1,1,0,0,0,1
jackl001,164,3,6,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1
jackl101,34,47,48,7,10,6,2,1,1,7,0,1,1,13,0,0,0,0,1,1
jackl102,599,1089,1192,77,170,140,22,6,2,48,2,3,41,310,0,4,58,0,14,1
jackm001,1005,28,33,3,5,3,2,0,0,1,0,0,1,4,0,0,4,0,0,1
jackm101,23,7,8,0,1,1,0,0,0,0,0,0,0,5,0,0,1,0,0,1
jackr001,2820,9864,11416,1551,2584,1509,463,49,563,1702,228,115,1375,2597,164,96,13,68,183,0
jackr002,926,2986,3285,356,774,531,165,22,56,342,23,27,213,329,17,35,31,20,73,0
jackr003,282,31,33,2,6,5,0,1,0,0,0,1,0,8,0,0,2,0,0,1
jackr004,226,452,494,49,108,74,23,4,7,52,7,5,32,120,0,3,4,3,7,1
jackr005,42,33,39,2,2,2,0,0,0,0,0,0,2,10,0,0,4,0,2,1
jackr101,196,474,534,54,116,80,18,1,17,52,6,1,45,119,4,5,7,3,13,0
jackr102,955,3203,3548,412,835,573,115,44,103,415,36,18,281,382,11,7,42,15,108,1
jacks001,51,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
jacks102,936,3055,3390,396,767,651,81,28,7,162,126,51,250,265,11,11,57,17,52,1
jackt101,1656,6086,6679,833,1768,1256,291,86,135,929,71,40,412,565,0,10,171,0,39,1
jackz001,22,9,13,1,1,1,0,0,0,0,0,0,0,2,0,0,4,0,0,1
jacoa101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
jacob001,1311,4520,5027,535,1220,872,204,24,120,545,16,25,439,764,26,16,10,42,138,1
jacob002,42,160,176,17,44,26,9,0,9,28,0,0,14,47,0,1,0,1,3,0
jacob102,22,6,7,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0
jacoe101,138,181,203,14,33,27,5,1,0,10,0,1,7,38,0,0,15,0,0,1
jacoj001,106,23,25,0,1,1,0,0,0,1,0,0,0,15,0,0,2,0,0,1
jacoj101,10,10,10,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0
jacom001,569,1949,2140,248,493,271,116,6,100,312,5,2,170,492,18,7,1,13,49,1
jacom102,121,294,338,45,71,60,9,2,0,24,5,2.5,36,25,0,0,8,0,0,1
jacor101,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
jacos101,188,665,759,87,164,147,16,1,0,33,22,8,80,32,1,2,11,1,10,1
jacot101,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
jacow101,1253,4798,5297,716,1545,1090,293,84,78,753,73,53.5,309,303,0,30,160,0,0,0
jacqp101,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
jacqt001,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
jaecj101,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
jaegj101,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
jahaj001,826,2775,3285,470,730,458,126,5,141,490,36,17,430,686,15,50,6,24,71,1
jahna101,104,349,375,45,97,73,15,8,1,55,2,2,17,36,0,3,6,0,0,1
jaimj001,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
jakuc001,70,5,5,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1
jakus101,73,149,157,16,24,17,2,2,3,14,0,0,3,25,0,0,5,0,3,0
jamea101,11,40,41,2,9,7,2,0,0,1,1,2,1,3,0,0,0,0,1,0
jameb001,279,21,21,0,4,4,0,0,0,2,0,0,0,15,0,0,0,0,0,1
jameb102,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
jameb103,20,39,45,4,6,6,0,0,0,2,0,0,1,11,0,1,4,0,0,0
jameb104,114,237,260,35,61,51,6,3,1,20,8,4,17,26,0,1,5,0,0,1
jamec001,946,3040,3294,343,794,535,145,24,90,386,27,17,193,490,14,21,15,25,69,1
jamec002,77,97,112,5,8,7,1,0,0,3,0,0,3,34,0,0,12,0,2,1
jamec101,208,381,429,69,87,65,15,2,5,27,16,2,28,52,5,11,8,1,8,1
jamec102,510,1406,1479,158,358,264,56,9,29,172,7,7,48,260,3,10,9,6,40,1
jamed001,917,2708,3074,362,781,586,142,21,32,266,43,38,318,307,20,11,22,15,56,1
jamed002,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jamej001,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jamej002,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jamej101,73,17,18,3,0,0,0,0,0,0,0,0,0,8,0,1,0,0,1,0
jamej102,35,44,45,0,6,6,0,0,0,2,0,0,0,20,0,0,1,0,2,1
jamel101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jamem001,289,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
jamer101,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
james101,51,36,43,8,6,4,2,0,0,6,1,0,6,8,0,0,1,0,3,1
jamic101,1483,5551,6343,942,1753,1365,296,74,18,492,107,111,627,247,0,31,134,0,0,0
janej101,62,82,94,2,8,8,0,0,0,5,0,0,3,36,0,0,9,0,2,0
janip001,473,1172,1305,123,249,181,59,2,7,87,7,5,97,187,4,16,12,8,26,1
jankj001,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jankt001,334,869,976,121,209,165,29,7,8,42,62,22,94,229,0,4,9,0,15,1
janov101,83,196,215,20,42,33,6,1,2,10,0,1,12,54,0,2,5,0,3,1
jansc001,437,3,4,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1
jansd001,138,428,479,53,92,57,18,1,16,51,0,1,40,96,1,8,1,2,9,0
jansk001,607,8,9,1,3,2,1,0,0,1,0,0,1,2,0,0,0,0,1,1
jansl101,291,600,691,37,90,76,12,1,1,48,0,0,39,157,0,0,52,0,11,1
janvh101,247,673,747,71,158,129,21,6,2,62,17,11,50,48,0,2,22,0,0,1
janzm001,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jaraj001,119,336,366,23,79,56,19,0,4,38,2,0,27,59,3,1,1,1,19,1
jarvk001,191,188,229,19,30,23,6,0,1,14,0,1,13,62,0,3,23,2,4,1
jarvp101,249,405,458,20,49,43,6,0,0,20,0,0,15,163,0,0,37,1,1,1
jarvr101,44,29,35,0,2,2,0,0,0,2,0,0,1,19,0,0,4,1,0,0
jarvr102,21,50,57,4,8,6,1,0,1,4,0,0,7,7,0,0,0,0,1,1
jasoj001,808,2224,2591,295,573,363,143,12,55,281,16,10,319,412,6,28,5,15,52,1
jasph101,12,29,32,2,3,3,0,0,0,0,0,0,1,15,0,0,2,0,0,0
jastl101,139,171,191,12,29,26,1,0,2,10,0,0,8,35,0,1,10,1,1,1
jatap101,32,74,82,8,17,15,2,0,0,3,0,1,7,14,0,0,1,0,1,0
javea101,205,380,413,24,52,46,5,1,0,11,0,0,7,124,0,0,26,0,6,1
javia101,8,24,26,1,5,5,0,0,0,0,0,0,2,5,1,0,0,0,1,1
javij101,1622,5722,6179,722,1469,1120,216,55,78,506,135,63,314,812,39,21,90,32,100,1
javis001,1763,5047,5755,781,1358,1036,225,40,57,503,246,51,578,839,26,25,67,38,102,1
jay-j001,1178,3774,4243,525,1074,829,184,25,36,336,55,33,282,702,22,109,55,23,90,1
jay-j101,310,483,540,17,55,46,7,0,2,19,0,0,28,206,0,1,27,1,9,1
jayem001,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jeand001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jeant101,53,73,82,15,20,15,4,0,1,11,1,0,7,7,0,0,2,0,0,1
jeffg001,1465,5520,6072,761,1593,1140,300,27,126,663,196,63,472,348,59,24,4,52,156,1
jeffg101,70,39,42,3,5,5,0,0,0,2,0,0,1,13,0,0,2,0,0,1
jeffh101,918,1963,2131,249,487,348,95,18,26,188,49,20.5,114,289,0,5,47,2,55,1
jeffi101,175,495,544,71,116,89,19,0,8,46,6,3,32,21,0,2,15,0,6,1
jeffj001,392,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
jeffj101,237,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
jeffm001,255,2,3,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
jeffr001,680,2123,2306,285,637,423,131,11,72,300,2,5,146,451,25,20,4,13,63,1
jeffs001,296,832,920,125,180,130,25,9,16,67,60,20,65,177,2,7,6,10,13,1
jelic001,4,11,11,2,1,0,0,0,1,1,0,0,0,3,0,0,0,0,0,1
jelif101,4,8,9,0,1,1,0,0,0,2,0,0,1,2,0,0,0,0,0,1
jelkg001,10,11,14,2,1,0,1,0,0,0,0,0,3,4,0,0,0,0,0,1
jelts001,727,1749,2041,183,367,296,46,20,5,130,18,10,248,342,32,3,34,7,53,1
jenkb001,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jenkc001,46,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
jenkf101,665,896,1010,54,148,102,27,6,13,85,0,1,41,326,0,0,66,7,9,1
jenkg001,1349,4700,5254,688,1293,747,303,22,221,733,32,14,418,1186,77,96,3,37,113,1
jenkj101,8,7,7,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,1
jenkj102,11,19,20,0,3,2,1,0,0,1,1,0.5,1,1,0,0,0,0,0,0
jenkj103,5,3,4,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0
jenkt001,14,13,17,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,1
jenkt101,171,459,496,42,119,96,14,6,3,44,1,3,28,53,0,1,8,0,0,0
